Date,OXO-5FI696 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC608A Augusta,OXO-5FIC608B Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC601 Augusta,OXO-5TIC603 Augusta,OXO-5TIC605B Augusta,OXO-5TIC606 Augusta,OXO-5TIC609 Augusta,month,day,day_of_week,week_of_year,kpi1
2023-09-09 23:00:00,8330.45206141708,1623.3699776785722,56.11564907630285,648.7586064699317,24.74359457833427,0.0055104147759266,8.002392750866008,213.86383095765729,145.02101135253906,122.96800437340372,123.05345931143124,124.04979588435248,124.97217152913412,9,9,5.0,36,0.8599275036793479
2023-09-10 00:00:00,8326.185684867527,1627.9572821723098,59.44842549761136,643.7994275774274,24.630736400171664,0.0048306253156624,7.994988933051984,215.043871137831,145.00070945503785,122.98818010153228,123.03237624020916,123.9738508401458,124.96284472147622,9,10,6.0,36,0.8595016071380411
2023-09-10 01:00:00,8334.58923879978,1624.9061940511071,53.82098563661178,652.8712778727214,24.707878455137603,0.0065300989663228,7.995081657018417,215.13456916809085,144.95315290923813,123.03087218194943,123.0387048236394,123.91268692668682,125.02981185913087,9,10,6.0,36,0.8609811385928302
2023-09-10 02:00:00,8331.03198926694,1623.367578125001,55.45216425955296,653.7295959472656,24.787736688341425,0.0059069586277473,7.998537812914167,214.755963643392,144.99508944424716,122.96922510320492,123.0467242190712,123.986370641535,124.97385025024414,9,10,6.0,36,0.8603536521475016
2023-09-10 03:00:00,8337.760290658602,1621.490004530899,55.02160880714655,647.6301010266869,24.609066243074388,0.0041508358553983,7.998913594654629,214.2822229227889,144.99263413747153,123.05671564737963,123.05239525619815,123.99780092534328,125.02046585083012,9,10,6.0,36,0.8613765988188841
2023-09-10 04:00:00,8338.39576681386,1629.289215087891,54.90735336740811,651.4280303955078,24.601940801588164,0.004547379707219,8.001169515868364,214.20714352925617,145.04326583992722,122.97928482446925,123.09718555515094,124.10185965513573,124.98146057128906,9,10,6.0,36,0.8605232438624061
2023-09-10 05:00:00,8336.005610447304,1630.647046513919,54.49980554282666,652.1309793937106,24.56702613830567,0.0031878007866907,8.000700129403008,229.1074803239208,145.02104474913395,122.98592640529176,123.00259756385728,124.05362344902252,125.01211172739666,9,10,6.0,36,0.8603545964889773
2023-09-10 06:00:00,8337.416508940078,1631.528065369193,57.80165063142776,651.7482642458197,24.54982233982461,0.0046040288289077,8.002220373527676,226.0848542622157,144.9817649916847,123.0671766677706,123.08126659019317,123.8854530258934,125.13115030924482,9,10,6.0,36,0.8598683980440552
2023-09-10 07:00:00,8341.320286573562,1625.6972178141275,54.83338852127393,648.9420827229818,26.09809885186665,0.0058503095060586,8.003141011221935,225.0507624308269,144.936049241286,123.02793773422891,123.05267596845869,123.93721901657244,124.94119606018066,9,10,6.0,36,0.8608598390469371
2023-09-10 08:00:00,8329.079644097223,1631.7222900390627,55.857958460847534,648.8322034004407,25.72453035627094,0.0069832919398322,8.007680298033215,214.75051384298212,145.04190914447491,122.99258789649376,123.0027139572869,124.010027225201,124.9968528747559,9,10,6.0,36,0.8584694203488645
2023-09-10 09:00:00,8425.795188210228,1625.2250344795098,56.35185082554817,653.6824148077714,26.76921244500911,0.0077763796434737,7.994132856720859,216.76259476797924,144.96689316832902,122.97502069565851,123.05595353506136,124.07835825207168,125.01594543457033,9,10,6.0,36,0.8701200251999389
2023-09-10 10:00:00,8563.964903714364,1640.07907002767,58.68081713517507,644.2181427001954,26.92893935058076,0.0049439235590398,8.006447957733931,218.47469380696617,144.9781752764168,123.01230530819652,122.96300795098314,124.00475569902837,124.9823569615682,9,10,6.0,36,0.8819599433589774
2023-09-10 11:00:00,8550.23355102539,1626.605452827786,55.04021261235078,653.2405899711277,26.606795535368093,0.0067566954530775,8.00632330015594,215.80904374803816,145.00775176699807,122.99481669510944,122.95235256120264,124.00354138542622,125.01586888631182,9,10,6.0,36,0.8819469317608409
2023-09-10 12:00:00,8548.643283420139,1618.0737557246775,54.080451019605,649.083706559806,26.314317992755356,0.0072665375482756,7.996303179434368,215.3616564520474,144.90965642155822,123.00565585574589,123.14699156094436,123.98895566098324,124.87474377950032,9,10,6.0,36,0.88351459289336
2023-09-10 13:00:00,8559.25404188368,1625.4639475504569,54.059360874195896,648.7894866943359,26.495902581648405,0.0055104147759266,8.000364017486572,214.72213198343908,144.9418809370561,122.99255072853782,123.05137063791076,123.93102229725234,124.98376846313478,9,10,6.0,36,0.8837276765545021
2023-09-10 14:00:00,8546.868104876894,1623.7785821898376,53.81860466698807,655.4053203876202,26.506680488586436,0.0074364849133417,8.000397352071909,214.0459160846213,145.07983428356695,123.02503376381068,123.16489650181347,123.848414925968,125.10797557830809,9,10,6.0,36,0.8824458182436644
2023-09-10 15:00:00,8551.894374302456,1631.6534098307295,55.10240045984586,651.8222198486328,26.76100573332414,0.0069832919398322,8.004586219787598,214.03625030517583,145.17384006666106,123.00954351010527,123.1122494401602,124.10419218643852,125.06784470876056,9,10,6.0,36,0.8817908340203005
2023-09-10 16:00:00,8562.678207236842,1631.5413281670935,54.75887169440588,648.26493053276,25.927003119755724,0.0081162743736058,8.000760263609655,214.0010144417746,145.11384355903854,123.0481184402314,122.90504037416896,124.14024118857807,124.89747746785476,9,10,6.0,36,0.8831894908952765
2023-09-10 17:00:00,8570.61579635908,1611.424575279499,49.50201511606574,650.9515109592014,25.719850662651424,0.0093059059290681,7.98987955128381,214.7335266902529,145.09807608060748,122.98415103805398,123.09546633633695,124.03393413402412,125.14991792043048,9,10,6.0,36,0.8872170171650244
2023-09-10 18:00:00,8576.02280970982,1625.7068776448573,53.96151374280453,650.4743398030599,25.52597542466789,0.0093625550507567,7.995219066225249,213.96313196818036,144.99379020824767,123.00976167645368,123.06394491524529,123.80961528577306,124.96269124348962,9,10,6.0,36,0.8855639619480429
2023-09-10 19:00:00,8590.64609966856,1626.78890078292,53.85462664763133,651.9083210573358,25.175206320626405,0.0093625550507567,7.99952754066104,214.1339371779869,144.9471492393344,123.00799745726356,123.0188882010323,124.0829812947986,124.99711977640794,9,10,6.0,36,0.8865902564340951
2023-09-10 20:00:00,8586.218806340145,1613.6685517409758,48.202155302961664,647.209216939992,25.096191493743063,0.0094758532941341,7.995036269546649,213.77295386272928,144.75854660174164,122.9396013032406,123.10730556141247,124.0860231032066,124.99153118133547,9,10,6.0,36,0.8882556130298165
2023-09-10 21:00:00,8586.106400516055,1622.8789886474617,54.09764575660229,647.0283447265625,24.639305616679952,0.0080596252519171,7.994398012495878,213.78199577331543,145.0003788578618,122.97480794545768,123.059234552216,123.96472345079692,124.95178165435792,9,10,6.0,36,0.8870463044744925
2023-09-10 22:00:00,8581.547159830729,1628.490165378737,51.063790282110375,647.3670696390086,24.647024784273324,0.0050005726807285,7.999991972469589,214.1399426004161,145.10092881146602,123.02965605492692,123.06353093119488,123.95298370660517,124.91752592722575,9,10,6.0,36,0.8861072802027383
2023-09-10 23:00:00,8578.307065610532,1625.2191472639122,52.91345773339272,651.5952657948369,24.622700871648025,0.0051705200457945,7.997343432795894,214.77697620057225,144.88942193547518,122.97832286029784,123.0129761566986,123.9244262001732,125.00043869018552,9,10,6.0,36,0.8861295590493558
2023-09-11 00:00:00,8574.853626179245,1621.7365447998052,52.19657193223635,650.5506327311198,24.58509600789924,0.0067000463313888,7.998168916033025,214.497974395752,144.948232014974,123.01679112889748,123.08591608415556,123.9536397478222,125.07055295308427,9,11,,37,0.8859416233645862
2023-09-11 01:00:00,8574.199157714844,1613.1820424847904,52.43886162638664,649.1803647248641,24.58742183269841,0.0052838182891719,8.000500527938994,214.8513824187958,144.9574584960937,122.95985659204348,123.026896607642,124.03159517230408,124.93515014648436,9,11,,37,0.8865515336992004
2023-09-11 02:00:00,8574.538187278891,1616.7362807701377,51.908968772490816,653.043160274111,24.56702613830567,0.0046606779505964,7.997475015265601,214.32915917758285,145.05807384144174,123.03587258078828,123.0407205309186,124.10152116255324,125.06040566762287,9,11,,37,0.8866438230822751
2023-09-11 03:00:00,8575.381197064837,1607.0071706136075,49.63203994234403,648.3952941894531,24.604142627200574,0.0040375376120209,8.00027049983944,213.776197942098,145.0109325062145,122.93162536621098,123.09914755606437,124.08158214672189,125.00446319580077,9,11,,37,0.8876335805304729
2023-09-11 04:00:00,8479.785124405571,1616.6542685372494,52.33016232848168,652.1065252523507,24.691872510043066,0.0054537656542379,7.998085026789194,215.89793659556997,145.0672528768323,123.02933297698036,123.03058000044382,123.90341516868354,125.02733230590816,9,11,,37,0.8766880087680439
2023-09-11 05:00:00,8382.197400323275,1616.605624389649,51.61311449408531,648.4588755289714,24.402046122102664,0.002961204299936,8.004047088133982,241.8108155568441,144.98520002693968,123.01662984387632,123.01107442480875,123.91660216758996,125.03765106201168,9,11,,37,0.8663566625559297
2023-09-11 06:00:00,8386.170925817756,1625.491284179688,53.69199538926284,646.9774780273438,23.87764535631453,0.0027346078131813,8.008021001304899,230.5786500818589,145.01249778053975,123.0131086869674,123.0473139264942,124.0289019497958,125.00127773284918,9,11,,37,0.8654513740647612
2023-09-11 07:00:00,8379.608748726223,1633.738486500968,57.17435384988785,650.0751278525904,26.76522938567814,0.0048872744373511,8.009293660078898,230.462872505188,144.88258828922193,122.99274592496909,123.00879956235978,124.11711042754492,124.9419402440389,9,11,,37,0.8634237796265876
2023-09-11 08:00:00,8384.534467516447,1639.6394246419277,59.203568994998925,646.8540481041217,24.98929203146756,0.0067000463313888,8.009240920000737,215.39652596532773,145.18680847797205,123.05266995774107,123.06060496415236,124.020618556701,125.0640296936035,9,11,,37,0.863069575408567
2023-09-11 09:00:00,8370.742001488095,1614.0958546605611,52.98287130196889,656.7551603398772,27.164526245810777,0.0053971165325492,7.993238696185025,219.14532015616436,144.87607324903257,122.95903770945908,123.03385384299531,124.01535404953998,124.92982807159424,9,11,,37,0.8660241276514211
2023-09-11 10:00:00,8365.928761888586,1617.3695861816411,52.625844009717305,646.8058146158854,26.86113870554956,0.0064168007229454,7.999896587996647,214.31589037577317,145.30848878005466,123.04936382688328,123.15334826502308,123.87183169660904,125.07154471079512,9,11,,37,0.8645785204311158
2023-09-11 11:00:00,8364.451053503788,1652.913516340585,61.31544681390127,649.1034388048897,26.250651487937358,0.0080596252519171,7.999073670460628,214.2422072311928,144.86736909469755,122.99275449242924,122.81764419262224,123.97016317537526,124.99004338582355,9,11,,37,0.8604196439521036
2023-09-11 12:00:00,8367.603653724747,1623.4552328927182,53.40857339799404,651.1325490851151,26.11199998855592,0.0055104147759266,8.00150767656473,217.90840465098887,144.8474347041204,122.96690368652344,123.09120647723852,123.9710284013015,124.93585586547847,9,11,,37,0.8640753514116507
2023-09-11 13:00:00,8357.238935198102,1644.3206024169926,57.08456703722477,649.7431783040364,25.952175107495545,0.0081162743736058,7.998144404641513,214.60148226420085,144.93029522073684,123.0039026326146,122.96256591533792,124.05537388242526,124.96896743774418,9,11,,37,0.8608906678133998
2023-09-11 14:00:00,8369.235053453947,1619.9750724003236,52.82959170142809,648.7865564069177,26.9036580673372,0.0067000463313888,7.996575668604687,214.1861861379523,145.2295618538905,123.0604284267233,123.19605504404194,124.10442290643248,125.08955001831052,9,11,,37,0.8649406294293486
2023-09-11 15:00:00,8364.707841352983,1640.7209106445318,57.14890147444972,652.2202282714844,26.75442982767965,0.0076109441553563,7.997760793664953,214.1039843318438,144.95931430392795,122.98509674072274,123.08801529433696,123.8874392191569,124.948946927501,9,11,,37,0.8620529333731074
2023-09-11 16:00:00,8369.273862933169,1620.2780225522056,51.29367342362037,652.2789808612004,25.55814143846621,0.0073841934163983,7.998293327835371,214.03840965199691,145.1020478183784,123.00484229523003,123.03961851012026,123.95600491125607,125.06644190274751,9,11,,37,0.8648401704932898
2023-09-11 17:00:00,8385.3095703125,1625.804966042259,49.33925257360234,648.0859913868948,25.158718251167468,0.0094758532941341,7.998623056614653,213.76669896206013,144.93258096883585,123.03217743255284,123.0360910131575,123.976310149483,124.95151507059732,9,11,,37,0.8659608623903361
2023-09-11 18:00:00,8393.85574048913,1633.4652486165369,54.40457208752631,650.448905436198,24.82888611292436,0.0092492568073794,8.000518730131246,214.18660392761237,145.0359802246094,122.99129880484888,123.02960761118736,124.17543062113096,125.00837326049806,9,11,,37,0.8655567373194687
2023-09-11 19:00:00,8402.971825715538,1618.4359313964849,50.58384095579386,653.7486704508464,24.71286437785732,0.0085128182254266,8.000260555638675,213.9284090677897,145.1392737797329,123.01721967969618,123.06560502854065,124.09453378404892,125.02845764160148,9,11,,37,0.8682735514966813
2023-09-11 20:00:00,8406.722530241936,1615.183308559182,49.85797031323115,649.6286253802544,24.62944932417437,0.0087394147121813,7.994302041602857,213.7906939751279,144.94902022843513,122.95750466572872,123.00107967492296,123.84855360837338,124.9855613708496,9,11,,37,0.8695335735642047
2023-09-11 21:00:00,8399.336215315194,1615.8501940815393,52.62699459791183,649.1963958740234,24.56702613830567,0.0074931340350303,8.001374240579276,213.70886627966613,144.88262492212752,122.98180349941909,123.07523253868364,123.96790451839064,124.95862929026288,9,11,,37,0.867938116740613
2023-09-11 22:00:00,8384.145967923678,1632.2441467285162,56.317857734362285,652.5470255533854,24.56702613830567,0.0055104147759266,7.998637866973876,213.8126002166231,144.9918744848409,122.9817663770203,123.0947777687965,124.10269592005176,125.00621795654295,9,11,,37,0.8649950034975913
2023-09-11 23:00:00,8387.734635416668,1623.206312997001,55.57117515007655,647.9956577845982,24.60949964621633,0.0044340814638417,8.00018119320427,213.73679324063383,144.93934956002744,123.00324314198596,123.0062557102478,124.0472523303742,124.99694824218749,9,11,,37,0.8661979164602384
2023-09-12 00:00:00,8382.398095285791,1619.019075520834,56.07473776539168,654.2827362060547,24.687190771102912,0.0034710463951341,8.003450588385265,213.981208674113,144.98270986861542,122.97983666428,123.05478006998688,123.93486574317228,124.96807098388663,9,12,1.0,37,0.8657699567045878
2023-09-12 01:00:00,8383.01856416869,1628.7001347902449,55.646981388827164,651.6124053955078,24.69931747716502,0.0040375376120209,7.999621435042915,214.25017250190348,145.03016872580992,122.99629771381346,123.06858887543537,123.85650816751188,124.93301328023271,9,12,1.0,37,0.8652986473481482
2023-09-12 02:00:00,8380.130586357527,1627.0204862071355,55.58877026538054,649.6468013294956,24.58804619069003,0.0031878007866907,7.99895149834302,214.2227834065756,144.9856866200765,123.02159667015071,123.02481265943868,123.94483868281044,125.01047134399414,9,12,1.0,37,0.865291498095732
2023-09-12 03:00:00,8376.772262168142,1629.9087178548175,55.37629719773928,647.8993784586588,24.62030109865913,0.002961204299936,7.996211911069936,215.07152871524588,145.02582313274516,123.03811724432585,123.06637178618332,124.0242980430866,124.963703028361,9,12,1.0,37,0.8649706725308289
2023-09-12 04:00:00,8379.606635199652,1632.5030527836138,58.55963668823242,651.8424667230173,24.603485698193584,0.0040375376120209,7.995821792467505,214.43328831776847,144.98980712890628,122.9892419988459,123.0642877764406,124.14467669400292,125.00761013031006,9,12,1.0,37,0.8646862102794605
2023-09-12 05:00:00,8386.404519786005,1631.690794798706,59.20820211569468,647.7448806087527,24.520015967012665,0.0030178534216247,7.999591952622539,232.3011019620029,145.07944826735684,123.01224911090031,122.9885027336351,124.05136388661906,125.16472040812174,9,12,1.0,37,0.8651567446069047
2023-09-12 06:00:00,8388.829881020642,1642.1108888805427,60.83714023431142,645.7934403378739,23.811501984047688,0.0026779586914926,8.00896688478183,232.3597031291733,145.06589480808807,123.02670172282636,123.09882488585352,123.99676649911068,124.98886108398432,9,12,1.0,37,0.8635287130448399
2023-09-12 07:00:00,6810.27463517099,1652.9195292154957,61.38001796205838,651.580615234375,26.9242109215778,0.0031878007866907,6.606494393556014,265.6512419382732,145.21938214983274,122.9861360958644,122.88242247208294,123.77909878080928,124.98361466725665,9,12,1.0,37,0.8181510780112775
2023-09-12 08:00:00,5172.77106881649,1654.4440259850549,56.97849967082342,645.6695400140225,24.88492139180502,0.0041508358553983,5.507922672757917,254.5294269122909,144.82966999092486,122.69004945080692,122.63839721679696,123.73388232606828,124.78564771016434,9,12,1.0,37,0.7161035382695857
2023-09-12 09:00:00,4855.490552218455,1648.414455019195,59.67183934847514,651.5501445901805,27.39063739776612,0.0065300989663228,5.491478109359742,239.3883089811906,144.9937189275568,120.6482450311834,123.44114546342313,123.95784322565252,125.004081662496,9,12,1.0,37,0.6738033411029245
2023-09-12 10:00:00,4842.84326171875,1638.2044260660812,55.1478973865509,649.9529876708984,26.6840473672618,0.0073231866699643,5.503789354407269,237.0165082295736,144.80843903914737,119.30988126008408,122.81893947206696,124.13983890699302,125.00429153442388,9,12,1.0,37,0.6722002747992823
2023-09-12 11:00:00,5395.884791324013,1621.7231834674706,56.59169206321239,648.333912816541,26.28366374969484,0.0066433972097001,5.825907412697287,224.41776336399855,145.02288140190967,128.0366728811553,123.4684353430294,124.14515955761226,125.00625616709392,9,12,1.0,37,0.7184105025051565
2023-09-12 12:00:00,6384.469081841627,1624.083606385349,56.72555129329364,653.5391314962636,25.76555130698465,0.004377432342153,6.667674068971114,215.16501691700088,145.06430336281107,125.15318376046643,122.06119530417703,123.84841007656524,125.03538131713869,9,12,1.0,37,0.7643452156679644
2023-09-12 13:00:00,7486.041194810779,1649.9877563476564,68.60051109790803,647.0219868977864,26.25406654949847,0.0070965901832096,7.838794959002528,217.754233678182,145.0832114430657,123.07142023454632,122.83401522143136,124.0804284137228,125.10828247070314,9,12,1.0,37,0.7826919328946248
2023-09-12 14:00:00,7674.013168492268,1637.10086555155,68.68630938529968,650.6124215411324,26.75639487247842,0.007549783156719,7.6112790014229565,218.11926256262737,144.87964585248156,123.04121309168204,124.35346592282792,124.1083792144177,125.07749551137282,9,12,1.0,37,0.8229843675932108
2023-09-12 15:00:00,7670.018315153302,1650.5953008237095,64.16908100446065,651.9710819639008,27.036211013793952,0.0068699936964549,7.502368276769465,215.86601695185124,145.1284720044618,122.92731699812306,122.318421311812,123.95929627024798,124.80622984568284,9,12,1.0,37,0.8315281992298323
2023-09-12 16:00:00,7665.163161399148,1617.2331634521486,68.36406935850779,647.2063659667969,25.928394400555167,0.0081729234952945,7.498582048001497,211.8204283396403,144.89756950445934,122.96039844614216,123.80602744529986,124.22684363981256,125.08810030619304,9,12,1.0,37,0.833863084337361
